Vernier Format 2
Untitled.cmbl 3/17/2022 11:41:28 .
Latest
Time	Potential 1	EKG	Potential 2
t	Pot 1	EKG	Pot 2
s	mV	mV	V

0	0.299285888672	0.0138065973855	2.9280090332
0.005	0.220169067383	0.0558191486761	2.93167114258
0.01	0.127624511719	0.106189021628	2.93167114258
0.015	0.0485076904297	0.135536418265	2.9328918457
0.02	0.005859375	0.135593016761	2.93167114258
0.025	-0.0135955810547	0.112751417312	2.93411254883
0.03	-0.0354919433594	0.0780905538202	2.93655395508
0.035	-0.0671539306641	0.039634349998	2.93411254883
0.04	-0.0695953369141	0.00236377310578	2.93533325195
0.045	-0.0622711181641	-0.0287942605073	2.93533325195
0.05	-0.0574645996094	-0.0504116998617	2.93533325195
0.055	-0.0342712402344	-0.0614966548731	2.93533325195
0.06	-0.0196990966797	-0.0623222538587	2.93655395508
0.065	-0.0245819091797	-0.055760653519	2.9377746582
0.07	-0.0282440185547	-0.0467239382877	2.94021606445
0.075	-0.0258026123047	-0.0385879569785	2.94021606445
0.08	-0.00993347167969	-0.0316078922633	2.94143676758
0.085	0.007080078125	-0.0241226970386	2.94143676758
0.09	0.007080078125	-0.0154684911471	2.94387817383
0.095	0.004638671875	-0.0071640487156	2.94143676758
0.1	-0.00505065917969	-0.00123625905536	2.94387817383
0.105	-0.00627136230469	0.00136591290032	2.94387817383
0.11	-0.00382995605469	0.00140534754325	2.94509887695
0.115	-0.000244140625	0.000511479683094	2.94509887695
0.12	0.004638671875	-7.73516287056E-006	2.94509887695
0.125	0.00830078125	0.000537983906823	2.94509887695
0.13	0.016845703125	0.0024640754862	2.94509887695
0.135	0.0509490966797	0.00724421085233	2.94509887695
0.14	0.0849761962891	0.0176563609178	2.94509887695
0.145	0.116638183594	0.0350904181322	2.94509887695
0.15	0.144638061523	0.0585435426195	2.94631958008
0.155	0.167831420898	0.0857431241103	2.94631958008
0.16	0.186065673828	0.114038962864	2.9475402832
0.165	0.173858642578	0.139841779231	2.9475402832
0.17	0.177520751953	0.159541028961	2.94868469238
0.175	0.171417236328	0.172096603253	2.95112609863
0.18	0.132507324219	0.176632808464	2.95112609863
0.185	0.0777282714844	0.169989345216	2.95478820801
0.19	0.0277557373047	0.149919063679	2.95600891113
0.195	-0.0196990966797	0.11762194208	2.95600891113
0.2	-0.0476989746094	0.0772958466999	2.95600891113
0.205	-0.0586853027344	0.0351828997877	2.95722961426
0.21	-0.0538024902344	-0.00211792816089	2.95967102051
0.215	-0.0525817871094	-0.0301690794649	2.95967102051
0.22	-0.0562438964844	-0.048325986258	2.96089172363
0.225	-0.0525817871094	-0.0583789656694	2.96089172363
0.23	-0.0599060058594	-0.0627602259031	2.96211242676
0.235	-0.0854644775391	-0.0652294809912	2.96211242676
0.24	-0.141464233398	-0.071582109582	2.96211242676
0.245	-0.169464111328	-0.0863098784573	2.96333312988
0.25	-0.0720367431641	-0.103111208979	2.96211242676
0.255	0.248168945313	-0.0953630591197	2.95967102051
0.26	0.91535949707	-0.0121543853959	2.95722961426
0.265	1.65922546387	0.203457381115	2.95478820801
0.27	2.25584411621	0.571333922755	2.95112609863
0.275	2.23265075684	1.03450502614	2.95112609863
0.28	1.48023986816	1.44974861087	2.95356750488
0.285	0.625595092773	1.65488072043	2.95845031738
0.29	0.0289764404297	1.57773920871	2.96211242676
0.295	-0.153594970703	1.27311194458	2.96211242676
0.3	-0.227905273438	0.865020564067	2.96333312988
0.305	-0.257125854492	0.464721745591	2.96333312988
0.31	-0.257125854492	0.135997363666	2.96333312988
0.315	-0.258346557617	-0.0982715532663	2.96333312988
0.32	-0.247360229492	-0.242462934748	2.95967102051
0.325	-0.226684570313	-0.313834718488	2.95600891113
0.33	-0.224243164063	-0.333695840519	2.95967102051
0.335	-0.212036132813	-0.322816280663	2.95600891113
0.34	-0.192581176758	-0.296689268732	2.95600891113
0.345	-0.163360595703	-0.264178403081	2.95600891113
0.35	-0.153594970703	-0.230483025144	2.95112609863
0.355	-0.136581420898	-0.199388928061	2.95234680176
0.36	-0.113464355469	-0.172225210474	2.95112609863
0.365	-0.0927124023438	-0.148131892113	2.95112609863
0.37	-0.0732574462891	-0.126115932383	2.94990539551
0.375	-0.0476989746094	-0.105252818921	2.95112609863
0.38	-0.0258026123047	-0.0845407738971	2.94868469238
0.385	-0.0172576904297	-0.0641314737203	2.9475402832
0.39	0.004638671875	-0.0448285157561	2.94868469238
0.395	0.016845703125	-0.0266540290777	2.94990539551
0.4	0.0387420654297	-0.00924172367302	2.94990539551
0.405	0.0777282714844	0.00896456114322	2.94868469238
0.41	0.125183105469	0.0309980833845	2.94990539551
0.415	0.173858642578	0.0592704516826	2.94990539551
0.42	0.233520507813	0.0948266064802	2.94631958008
0.425	0.306610107422	0.138525802534	2.9475402832
0.43	0.365051269531	0.190357970643	2.9475402832
0.435	0.425933837891	0.248197958436	2.9475402832
0.44	0.491622924805	0.30966321126	2.94509887695
0.445	0.533050537109	0.372349867194	2.94509887695
0.45	0.550064086914	0.431707312997	2.94509887695
0.455	0.584167480469	0.483528461585	2.94509887695
0.46	0.578063964844	0.525730556639	2.94387817383
0.465	0.559829711914	0.555583388371	2.94509887695
0.47	0.518478393555	0.569982506675	2.94387817383
0.475	0.4794921875	0.56766936594	2.94387817383
0.48	0.410064697266	0.548856335144	2.94387817383
0.485	0.317520141602	0.512926591008	2.9426574707
0.49	0.233520507813	0.4595922892	2.94387817383
0.495	0.148300170898	0.39158911896	2.94387817383
0.5	0.0777282714844	0.313926656072	2.9426574707
0.505	0.0338592529297	0.233378129936	2.94143676758
0.51	0.009521484375	0.15784772946	2.94387817383
0.515	-0.0123748779297	0.0934433527594	2.94387817383
0.52	-0.0342712402344	0.0422421494633	2.9426574707
0.525	-0.0403747558594	0.00367052139518	2.94021606445
0.53	-0.0452575683594	-0.0233707161171	2.94143676758
0.535	-0.0501403808594	-0.0407086473797	2.94021606445
0.54	-0.0428161621094	-0.0504129332421	2.94021606445
0.545	-0.0330505371094	-0.053671182343	2.93899536133
0.55	-0.0270233154297	-0.051641018305	2.93899536133
0.555	-0.0135955810547	-0.0457585238124	2.9377746582
0.56	-0.00505065917969	-0.0371557559353	2.93655395508
0.565	-0.002685546875	-0.0272856312926	2.93533325195
0.57	-0.00749206542969	-0.0182228385625	2.93655395508
0.575	-0.00146484375	-0.0112857466242	2.93533325195
0.58	0.002197265625	-0.00617088301983	2.93533325195
0.585	-0.00627136230469	-0.0026707921714	2.93411254883
0.59	-0.00627136230469	-0.00122313474835	2.93411254883
0.595	-0.00627136230469	-0.00144269445059	2.93533325195
0.6	-0.0160369873047	-0.00289220307805	2.93411254883
0.605	-0.0160369873047	-0.00558015361718	2.93411254883
0.61	0.002197265625	-0.00799051196669	2.93533325195
0.615	0.0265350341797	-0.00701446736566	2.93411254883
0.62	0.0472869873047	-0.000509060952064	2.93411254883
0.625	0.0618591308594	0.0112249631343	2.9328918457
0.63	0.0777282714844	0.0263991142026	2.9328918457
0.635	0.105728149414	0.0438931862614	2.9328918457
0.64	0.139831542969	0.0641887842841	2.93167114258
0.645	0.151962280273	0.0871149166175	2.93167114258
0.65	0.159286499023	0.110134638674	2.93167114258
0.655	0.161727905273	0.130300622316	2.93167114258
0.66	0.150741577148	0.145398243053	2.93045043945
0.665	0.120300292969	0.152911936026	2.93167114258
0.67	0.0704040527344	0.14969203454	2.93167114258
0.675	0.0289764404297	0.133868330715	2.93167114258
0.68	-0.0209197998047	0.106339958772	2.93167114258
0.685	-0.0574645996094	0.069934206599	2.93167114258
0.69	-0.0732574462891	0.0294781911099	2.93411254883
0.695	-0.0866851806641	-0.00926698585382	2.93411254883
0.7	-0.0914916992188	-0.0422103891615	2.9328918457
0.705	-0.0939331054688	-0.0673969937211	2.9328918457
