Vernier Format 2
Untitled.cmbl 3/17/2022 11:25:28 .
Latest
Time	Potential 1	EKG	Potential 2
58.875	-0.0695953369141	-0.110037606443	3.18138122559
58.88	-0.0732574462891	-0.0961188542915	3.18016052246
58.885	-0.0489196777344	-0.083763205031	3.17893981934
58.89	-0.0391540527344	-0.0719292059465	3.17771911621
58.895	-0.0428161621094	-0.0606806384399	3.17893981934
58.9	-0.0270233154297	-0.0509544811602	3.17527770996
58.905	-0.00627136230469	-0.0415263142664	3.17649841309
58.91	0.004638671875	-0.0308379540037	3.17405700684
58.915	0.004638671875	-0.0195381844323	3.17405700684
58.92	0.00830078125	-0.00935059197276	3.17405700684
58.925	0.019287109375	-0.000745171298702	3.17283630371
58.93	0.0350799560547	0.00740531408804	3.17039489746
58.935	0.0533905029297	0.0166366930125	3.17039489746
58.94	0.0472869873047	0.0268326113756	3.17161560059
58.945	0.0387420654297	0.0355088512155	3.16680908203
58.95	0.0740661621094	0.0423963050169	3.16680908203
58.955	0.102066040039	0.0512897099887	3.16436767578
58.96	0.0898590087891	0.063178392643	3.16436767578
58.965	0.121520996094	0.0759724487539	3.16314697266
58.97	0.151962280273	0.0906133551641	3.16192626953
58.975	0.176300048828	0.108852911813	3.16070556641
58.98	0.216506958008	0.131001252935	3.16192626953
58.985	0.262741088867	0.157950253788	3.16070556641
58.99	0.287078857422	0.189530743796	3.16070556641
58.995	0.313934326172	0.223178842376	3.16070556641
59	0.340713500977	0.256470725509	3.15948486328
59.005	0.379623413086	0.28894877799	3.16070556641
59.01	0.368713378906	0.319355535023	3.15826416016
59.015	0.338272094727	0.342516803609	3.16070556641
59.02	0.323623657227	0.353853087127	3.16070556641
59.025	0.289520263672	0.352952765593	3.15948486328
59.03	0.218948364258	0.33912259605	3.15948486328
59.035	0.133728027344	0.309469575096	3.15948486328
59.04	0.0606384277344	0.26301637209	3.16070556641
59.045	0.004638671875	0.203614266575	3.15948486328
59.05	-0.0367126464844	0.138358931962	3.15948486328
59.055	-0.0695953369141	0.0743507632861	3.15948486328
59.06	-0.104919433594	0.0161961641531	3.16070556641
59.065	-0.126815795898	-0.0341346569092	3.15826416016
59.07	-0.126815795898	-0.0749800438112	3.15948486328
59.075	-0.142684936523	-0.105365483605	3.15826416016
59.08	-0.137802124023	-0.126238544199	3.15948486328
59.085	-0.131698608398	-0.138581652697	3.15826416016
59.09	-0.114685058594	-0.142878736014	3.15948486328
59.095	-0.109802246094	-0.140349206358	3.16070556641
59.1	-0.109802246094	-0.133693660357	3.15826416016
59.105	-0.113464355469	-0.126180705115	3.15948486328
59.11	-0.111022949219	-0.119857663114	3.15704345703
59.115	-0.0988159179688	-0.114667162709	3.15948486328
